metric,n,mean,var,std,min,max
IC_mean,2,0.027633652311879718,1.784223920174027e-06,0.0013357484494372536,0.026689135525323218,0.028578169098436215
IC_std,2,0.10537119795414346,1.5660039283986748e-05,0.003957276750997679,0.10257298072848113,0.10816941517980579
ICIR,2,0.2621973940415469,8.006768070630088e-06,0.0028296233089635955,0.26019654821157523,0.2641982398715186
RankIC_mean,2,0.016765388413148976,4.740486959995273e-06,0.002177265936902351,0.015225828904718842,0.01830494792157911
RankIC_std,2,0.11233038759628736,1.9737421322911117e-05,0.0044426817715104375,0.10918893718899847,0.11547183800357626
RankICIR,2,0.14898392211439732,0.00018198991243178678,0.013490363687899106,0.1394447944700111,0.15852304975878354
annual_return,2,0.006144325468275282,0.0,0.0,0.006144325468275282,0.006144325468275282
annual_vol,2,0.17665321473752513,0.0,0.0,0.17665321473752513,0.17665321473752513
sharpe,2,0.034781849157993774,0.0,0.0,0.034781849157993774,0.034781849157993774
max_drawdown,2,-0.38879871368408203,0.0,0.0,-0.38879871368408203,-0.38879871368408203
turnover,2,0.0,0.0,0.0,0.0,0.0
