,receiver_00,receiver_01,receiver_02,receiver_03,receiver_04,receiver_05,receiver_06,receiver_07,receiver_08,receiver_09,receiver_10,receiver_11,receiver_12,receiver_13,receiver_14,receiver_15,receiver_16,receiver_17,receiver_18,receiver_19,receiver_20,receiver_21,receiver_22,receiver_23,receiver_24,receiver_25,receiver_26,receiver_27,receiver_28,receiver_29,receiver_30,receiver_31
source_00,0.0,0.044050452299416065,0.03222803899552673,0.00284731388092041,0.04600952938199043,0.01655251462943852,0.03950605052523315,0.08889510296285152,0.03302925080060959,0.026901396922767162,-0.007881327299401164,-0.0257972520776093,0.006464808713644743,-0.008562729228287935,0.035923148796427995,-0.054706139490008354,-0.033919643610715866,0.000957069918513298,0.0007793931290507317,-0.018308509839698672,0.0639397781342268,0.05069614667445421,0.03972610691562295,0.07471229508519173,0.039842771366238594,0.05763237550854683,0.016957443673163652,0.00645633228123188,0.05714377574622631,-0.03201223537325859,0.02432922087609768,0.04888896830379963
source_01,-0.044050452299416065,0.0,0.06435375474393368,0.10506738536059856,0.10017010197043419,0.009660479321610183,0.0709613747894764,0.10245148651301861,0.058735436643473804,0.030848984490148723,0.022725369781255722,-0.024819842539727688,0.014585485449060798,-0.001638523768633604,0.06077726557850838,-0.002605288987979293,-0.04496327182278037,0.013077725656330585,0.0892316484823823,-0.06969889625906944,0.015222294488921762,0.017467202618718147,0.03971472568809986,0.02456580032594502,0.022983253933489323,0.039168188348412514,0.017872752621769905,0.019518330227583647,0.0470381248742342,0.01696732174605131,0.05761777423322201,0.006656775251030922
source_02,-0.03222803899552673,-0.06435375474393368,0.0,0.00610843300819397,0.07034745812416077,0.019726267084479332,0.025726046413183212,-0.002974550239741802,0.052284399047493935,-0.015486141666769981,0.022702751914039254,-0.0008975090458989143,-0.049872903153300285,-0.04564039967954159,-0.0012244735844433308,0.031185150844976306,-0.010154042858630419,-0.004379758611321449,-0.04588575754314661,-0.022491490468382835,-0.050639026798307896,-0.06604313850402832,-0.024606507271528244,0.01017543114721775,-0.013216759311035275,-0.06767596490681171,0.018331339582800865,-0.00046063587069511414,-0.02111772494390607,-0.004866934381425381,-0.021105416119098663,0.007730415090918541
source_03,-0.00284731388092041,-0.10506738536059856,-0.00610843300819397,0.0,0.13133051060140133,-0.005524853244423866,-0.04787919484078884,-0.026433347025886178,-0.00203657615929842,-0.03432793216779828,0.005610851920209825,-0.0694004216347821,0.0021288450807332993,0.008116858312860131,-0.0063387097325176,-0.019596317724790424,-0.07316281646490097,0.009843137580901384,-0.011614195769652724,-0.09811409935355186,-0.04884745180606842,-0.07771196588873863,-0.03601601207628846,-0.019007936120033264,-0.020207361521897838,-0.054689288401277736,-0.021535510197281837,-0.017913328018039465,-0.00970446364954114,-0.03418393898755312,0.03262269217520952,-0.025954690296202898
source_04,-0.04600952938199043,-0.10017010197043419,-0.07034745812416077,-0.13133051060140133,0.0,-0.07820804096991196,-0.14054635539650917,-0.03186454717069864,-0.07951538730412722,-0.17320800572633743,-0.028392400592565536,-0.01776576606789604,-0.026908814441412687,-0.0655254740267992,-0.04057109449058771,-0.01934436647570692,-0.06883581075817347,-0.02433623094111681,-0.11003513261675835,-0.05226714815944433,-0.07860048487782478,-0.13632211741060019,-0.03349487739615142,-0.05146168661303818,-0.06703916750848293,0.01894184947013855,-0.07481507724151015,-0.04584361892193556,-0.025255832457332872,-0.052517417003400624,-0.07031615264713764,-0.07485487218946218
source_05,-0.01655251462943852,-0.009660479321610183,-0.019726267084479332,0.005524853244423866,0.07820804096991196,0.0,0.007198078092187643,0.04577573388814926,0.012929848860949278,-0.006672641262412071,0.027545818127691746,0.017113270238041878,0.017862698063254356,-0.018175851553678513,-0.006144123151898384,-0.022075758315622807,-0.0018217642791569233,0.07883011735975742,0.019175565568730235,0.028624866739846766,-0.011710127349942923,0.004679982550442219,-0.020907636731863022,-0.012573559186421335,0.010229567065834999,-0.017213699407875538,0.004822036768018734,-0.029095105826854706,-0.01865791092859581,-0.047907764033880085,-0.035329848527908325,0.022089743055403233
source_06,-0.03950605052523315,-0.0709613747894764,-0.025726046413183212,0.04787919484078884,0.14054635539650917,-0.007198078092187643,0.0,0.023728277694317512,-0.019965813495218754,-0.002171299420297146,0.017433349043130875,-0.040475016459822655,-0.005818899255245924,-0.019267786294221878,-0.009879587218165398,-0.009158918634057045,-0.07864465937018394,-0.020258212462067604,-0.0017099585384130478,-0.020080686546862125,-0.04386448301374912,-0.013848891947418451,-0.02707462530815974,-0.043138799257576466,-0.016788721550256014,-0.039120716974139214,-0.011154327541589737,-0.007207583403214812,-0.027220693416893482,-0.00026503391563892365,-0.008299734443426132,-0.006451027002185583
source_07,-0.08889510296285152,-0.10245148651301861,0.002974550239741802,0.026433347025886178,0.03186454717069864,-0.04577573388814926,-0.023728277694317512,0.0,-0.039785261265933514,-0.024247299879789352,0.03443337883800268,-0.0359609603183344,-0.04678625613451004,-0.06882036104798317,9.280629456043243e-05,-0.017062460305169225,-0.03981601446866989,-0.00042048748582601547,-0.04360729828476906,-0.09177718870341778,-0.07106606662273407,-0.07757797092199326,-0.04337599687278271,-0.03943342203274369,-0.02147992979735136,-0.06574299931526184,-0.06923345103859901,-0.05157847469672561,-0.05574236996471882,-0.08697820454835892,-0.011543468572199345,-0.025292337290011346
source_08,-0.03302925080060959,-0.058735436643473804,-0.052284399047493935,0.00203657615929842,0.07951538730412722,-0.012929848860949278,0.019965813495218754,0.039785261265933514,0.0,0.02491896227002144,0.04234160203486681,0.010084545938298106,-0.010155895724892616,0.010950414463877678,0.006524897180497646,-0.019049291033297777,-0.013904660008847713,0.0009032581001520157,-0.028718586079776287,-0.002769247628748417,-0.034452750347554684,-0.009828105568885803,-0.005553439259529114,-0.05412550922483206,-0.031886443961411715,0.0010737223492469639,0.024955304339528084,-0.02578816283494234,-0.046934232115745544,-0.048349421471357346,0.031908086501061916,-0.004454880952835083
source_09,-0.026901396922767162,-0.030848984490148723,0.015486141666769981,0.03432793216779828,0.17320800572633743,0.006672641262412071,0.002171299420297146,0.024247299879789352,-0.02491896227002144,0.0,0.018881142284953967,0.0029315827414393425,-0.011693894863128662,-0.01580789126455784,-0.019474292639642954,-0.03937913849949837,-0.026087710866704583,0.03595942445099354,-0.018299958668649197,-0.0329601876437664,-0.019993599504232407,-0.024783725384622812,0.0039701275527477264,0.008951026946306229,-0.032471800688654184,-0.04470856860280037,-0.02923407731577754,-0.034992645494639874,-0.008541684597730637,-0.06147733889520168,-0.01818695361725986,0.04346108436584473
