rank_position,factor,top_source_stocks,top_source_weights,top_receiver_stocks,top_receiver_weights
0,28,"sz002411,sh600666,sz000755,sh600340,sz000793,sh600770,sz002431,sz002310","0.011586,0.010538,0.006266,0.005494,0.004993,0.004904,0.004890,0.004683","sz000671,sz300027,sh601566,sh600501,sz002194,sh600088,sz002269,sz000536","0.015846,0.014789,0.012388,0.011292,0.010015,0.009937,0.009714,0.009662"
1,21,"sz002411,sz300072,sh600811,sh600804,sh600823,sh600246,sz000671,sz000826","0.016777,0.006239,0.005019,0.004272,0.004168,0.003858,0.003766,0.003599","sh600109,sh601108,sz002304,sh601236,sh601258,sh601377,sh601066,sz000800","0.104791,0.097305,0.095331,0.090557,0.090076,0.089557,0.084635,0.083880"
2,22,"sz002411,sh600804,sh600246,sz000046,sh600190,sz000829,sz300085,sz002424","0.049965,0.047756,0.041232,0.028499,0.022769,0.021291,0.020304,0.018736","sh600874,sz300146,sz300070,sz300059,sh601158,sh600519,sh600655,sz300003","0.022381,0.021812,0.020875,0.020119,0.018175,0.017882,0.017535,0.017266"
3,16,"sz002603,sh600383,sh600588,sz002122,sz000656,sz002431,sz002269,sz000540","0.014877,0.007062,0.006447,0.006023,0.006016,0.005693,0.005670,0.005570","sh601127,sz300251,sh600666,sh600418,sz002456,sz000536,sz000503,sh600761","0.077636,0.070499,0.065776,0.065040,0.060693,0.060372,0.059477,0.058747"
4,24,"sh601928,sh601098,sh600026,sh600685,sz300347,sz002085,sz300122,sh603833","0.005249,0.004076,0.004025,0.004003,0.003980,0.003957,0.003756,0.003662","sh601566,sz000708,sz000536,sz000876,sz002269,sh600236,sz002603,sh600216","0.004137,0.003517,0.003326,0.003321,0.003292,0.003184,0.003183,0.003165"
5,1,"sz000550,sh600597,sh600373,sz000831,sz002385,sh600340,sh601108,sz300059","0.011838,0.009423,0.008670,0.008322,0.008197,0.008192,0.007694,0.007488","sh601997,sh600999,sh600352,sz000166,sz000685,sz002736,sz000089,sh600332","0.123210,0.111068,0.104473,0.103830,0.100979,0.100185,0.098951,0.097496"
6,0,"sz000826,sz002085,sz300027,sz002269,sz000536,sh600616,sz002146,sz002456","0.002700,0.002564,0.002388,0.002321,0.002243,0.002172,0.002060,0.002050","sh600928,sh601018,sh601398,sh600008,sh601916,sz000900,sh601106,sh600648","0.018284,0.017369,0.017244,0.016817,0.016464,0.015729,0.015206,0.015111"
7,9,"sz300133,sz300002,sz002466,sz000422,sh601698,sh600895,sz002400,sz002945","0.008664,0.008427,0.008281,0.008208,0.008086,0.007990,0.007588,0.007540","sz002736,sz000001,sh600999,sh600436,sh600887,sh600109,sz002673,sh601108","0.010033,0.009906,0.009628,0.009616,0.009460,0.009435,0.009404,0.009258"
8,27,"sz000671,sz002945,sz300133,sh600190,sh600501,sh600633,sh601933,sz002607","0.010596,0.008322,0.008031,0.007856,0.007505,0.007336,0.006912,0.006684","sz000536,sz300251,sh600611,sh601099,sz300033,sh600666,sh601698,sh600839","0.014283,0.011706,0.009750,0.009011,0.008410,0.007507,0.006778,0.006545"
9,7,"sz002411,sh601127,sz000656,sz300033,sh600839,sh600246,sz000536,sh600266","0.036481,0.029606,0.027408,0.026705,0.023640,0.023085,0.021928,0.018630","sz300027,sz300059,sz000712,sz300058,sh600340,sh601360,sz300601,sz000860","0.002805,0.002727,0.002613,0.002477,0.002466,0.002464,0.002413,0.002408"
10,5,"sh600823,sh603260,sh600811,sz300133,sz000596,sz000553,sz002128,sz000671","0.002501,0.002005,0.001642,0.001549,0.001412,0.001394,0.001338,0.001294","sz000829,sh603986,sh600880,sh600633,sz300027,sz000961,sz300251,sz000826","0.008480,0.007723,0.007413,0.006820,0.006718,0.006552,0.006530,0.006330"
11,26,"sz000671,sz002371,sh600501,sh600816,sz000596,sh603799,sh600705,sh600745","0.003394,0.002567,0.001689,0.001516,0.001359,0.001327,0.001321,0.001297","sz000008,sh600006,sz002945,sh600748,sh601519,sh601698,sh601236,sz300027","0.099668,0.097464,0.088182,0.087672,0.087620,0.087001,0.085316,0.083517"
12,3,"sh601127,sz002292,sh600246,sz000536,sz002411,sh600839,sz300058,sz300085","0.092521,0.092099,0.090539,0.085288,0.084235,0.083400,0.082969,0.082211","sh600657,sh600340,sz300085,sz300033,sz000536,sz002146,sh601698,sh600428","0.009420,0.009391,0.009337,0.008571,0.008499,0.008456,0.008074,0.007990"
