,factor_00,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29,factor_30,factor_31
sh600000,0.010437369216547122,0.08768792160151534,0.0020949543512090124,0.0013267553134427843,0.00019357007563330518,0.0007367922385381014,0.22140386882155644,0.0004033441257732017,0.003319989902762688,0.007815947320887967,0.0005301047911763624,0.014285409842391674,0.0010613129216966897,0.0015939234935854777,0.0019739253898291096,0.0006182824630327108,0.030209575138669956,0.00033766679391669674,0.00032395717353341007,0.002500008555865765,0.002007879208860864,0.034795564612308046,0.007561601299267989,0.005840092402211701,0.0026833013190604464,0.5414534573795692,0.012457170103352552,0.0005641272936859613,0.0007362990473722872,0.0009310185950230522,0.0012683826740878229,0.0008464247621180368
sh600004,0.007135345773753145,0.07307646963964681,0.0034905957049084658,0.0021796066507192547,0.0005313514909903893,0.001104512265321135,0.21784431329404771,0.0009348564534686447,0.004769613126197084,0.005491044083628288,0.0009192896505546431,0.014585672598265055,0.002065028460242257,0.001615502081403671,0.00364517857281426,0.0011471315378598589,0.023370974878786338,0.0016277272007107304,0.0006410667775315305,0.0030193336328737247,0.00724293308990326,0.048561468788453695,0.009276995100849155,0.009509881777871595,0.001950882796464734,0.5235938181416286,0.024729805647202483,0.0005287149068874958,0.0013320326293705337,0.0007283838221658614,0.0018670564491262776,0.0014834112457681513
sh600006,0.005123825764565121,0.03204408726406017,0.0038069009447337055,0.007376981210344998,0.0009566443311346038,0.003543124377503203,0.30044041332519783,0.001979167650165903,0.006173837681836996,0.00467564143931503,0.001642936264140147,0.009324816132889631,0.004607024069389002,0.004806017525556707,0.0028825568550274717,0.0016763501412269135,0.038402514080845336,0.009134674984124666,0.0010021239417874793,0.014418767565328363,0.01218393281744526,0.049716027366282146,0.004906703346389665,0.001473511533092955,0.0022349230729212482,0.3588321697288923,0.09746412433254983,0.001987731066066999,0.005424482165507235,0.002848100025501104,0.004853226243226302,0.004056663760333905
sh600007,0.007217262595966579,0.041557076016789096,0.0039153418728851055,0.0028214477707959036,0.0004790971200179447,0.0011574932407260573,0.1925266188554803,0.0008213823789997915,0.0068553343840139745,0.006358942337832028,0.0010903810066245864,0.009636803866756511,0.001647801195199823,0.0024153269624785667,0.002990847081307027,0.0008696346875910763,0.023133420214323214,0.0013764518559679615,0.0005707327488063916,0.0047353312603324255,0.005001609334625987,0.03935291426695596,0.008497513192494636,0.003803362860327784,0.0024245185523268306,0.5804946531311943,0.037246438495480164,0.001318235388969194,0.002648648118921907,0.002814932370136201,0.001774729733593104,0.002445724764006738
sh600008,0.016816500258330935,0.0855836393101197,0.003322746134337923,0.0014795684133665254,0.0001981612232949659,0.0011589890720574828,0.3317914622519162,0.000539332986867998,0.003941412910236579,0.005584333177799491,0.00044785382592700394,0.005400163814911257,0.001506558458485276,0.002716378391081765,0.002119058211683033,0.0012919175628857019,0.02239119651323777,0.0003685719555201122,0.000499289238549773,0.0025832318557837504,0.0014721253853933853,0.03931449220979676,0.007829637568194653,0.0015292367825867426,0.0018367492985626776,0.4379781989934949,0.014330972287974648,0.0006321987762986095,0.00039512674968401385,0.001681873790603436,0.0019497487027751348,0.0013092736854300373
sh600009,0.005470585686222129,0.0781459676757045,0.003677443816095412,0.0018062391791699127,0.00030989546456231047,0.0014040820436894497,0.2757372801256318,0.000897436606157106,0.004487057085136008,0.006963181871210108,0.000550738782674567,0.010969845187760915,0.0016522168135811798,0.0025211056194769208,0.002826878275181612,0.0012153590565460832,0.015221697381336122,0.0013981612560471856,0.0006188389530380375,0.004550067108782325,0.010045337426354098,0.06161048420628092,0.010017387107522894,0.010932979853766423,0.0015563815327544256,0.4614107281259499,0.01754935771262697,0.00040501391500716896,0.0012902482051494121,0.0013476556042682547,0.001198856385490083,0.0022114946339949577
sh600010,0.010844241780851496,0.04670471238943998,0.002641001790834835,0.006047279424651454,0.0003770206212095273,0.0020410143811409316,0.3732517495387131,0.0016757678873834056,0.004448656173743348,0.005853701538593685,0.00044666265030550537,0.0049132816629668275,0.0013936756760142442,0.0019121083998808212,0.0018368656881825218,0.0012635723412751836,0.02540252891412693,0.0023364440991730717,0.0010961961161564827,0.004158082018533197,0.006729060811814936,0.0675818412086039,0.006292499977390056,0.0018738270114448477,0.0017198511235064899,0.3583954597785542,0.04984394496129078,0.0012291788330559327,0.0015379199048300124,0.0017378316084348706,0.0026149552467403516,0.001799063887689358
sh600011,0.004014760424841194,0.027479651525598097,0.001861866998991238,0.0023144673539537953,0.00024268719730955384,0.0018576044949736945,0.189499395929302,0.0008674223513635181,0.00443810867825734,0.0028921726863347106,0.0005840359281981495,0.028360185918918975,0.0014400131542923853,0.0032165250335785267,0.0019964295017160256,0.0030065999728633662,0.031900229968451876,0.0085736000133197,0.0003105930908870236,0.001785042682052858,0.01071592873560295,0.02253182545682174,0.0069520911727533816,0.006287523917874844,0.001911120708215747,0.6028732181309561,0.02432694715890719,0.00048406057919368176,0.0031992721564488157,0.0010050867863217957,0.0015177426700418494,0.0015537896041878624
sh600015,0.008866115500223964,0.08899982663378224,0.002826627781593415,0.0011230365516226562,0.0001431860008398744,0.0009293059989192054,0.20062180875695448,0.0003939119999225982,0.00480727111512351,0.004540958690859335,0.0007163963915112388,0.011845194920788085,0.0007373104722232674,0.001890077034241607,0.001881255975049467,0.0004591995363978156,0.029430476049413557,0.00030702691151263735,0.00035457661697137037,0.003235135210540979,0.0015955525135712772,0.026187765731998013,0.011296695958976116,0.005890069851234958,0.001922498712797894,0.570563929478092,0.01441584983062758,0.0005612995944598805,0.00030299299066419583,0.0009606083844190699,0.0010443957979048473,0.0011496411392484768
sh600016,0.014072996909323137,0.0829600760753577,0.0031266901862583886,0.0009578702656020781,0.00015029390531103877,0.001032282993657685,0.2788217167929681,0.0004866316432922877,0.003090520031898201,0.007622156184044693,0.0007245708521238964,0.01000155124413642,0.001369233816823727,0.0023065592736811083,0.0020162499090291756,0.0010153057550187712,0.030118059703394144,0.00042192942029978204,0.0003302657040875034,0.0029622736649558556,0.0020020601514868443,0.03315445091994628,0.011260878592521452,0.0034574135976834807,0.002333129255683879,0.48616030910212915,0.01344732077484544,0.0008815476314488202,0.00041835427540047186,0.001149271745013595,0.0013756540441292786,0.0007723766674689043
