,factor_00,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29,factor_30,factor_31
sh600000,0.00022056902362844094,0.0006556662186753694,0.00012959845181277713,0.007827742167951035,0.9723978101071779,0.00011301687441866806,0.00032799860836943233,0.005512427531050826,0.0002971444509827789,0.0004896348659624853,0.0003749234754844236,0.00020176262402037178,0.0009041306372078194,0.0004076968532850353,0.0003080913507270502,0.00011326555519829166,0.00038602810212063005,0.00048785197314001294,0.0036188810753364675,0.0008147022485269762,0.0007166317498721162,0.00019985673572600612,0.00011017605897460059,0.0007256989244227875,0.0005741792143717906,0.0001619934006655256,0.00011406443383587953,0.00023678644837670868,0.0005557601051562514,0.000438488671606462,0.0001463462257914263,0.00043108755920322493
sh600004,0.00029940147841013895,0.0016287478838442288,0.0010477571987851815,0.009606435951189896,0.9606622610480998,0.0007208416342920692,0.0003220088579611771,0.003709207573931845,0.0011844492490067282,0.0011870361621840728,0.0005867403404603241,0.0002979128630747984,0.0021640433691900596,0.0009038619579047158,0.0006114853679628647,0.00047018430168141857,0.00034479308296267674,0.0005758048695216132,0.004486395783303619,0.0007437759552243776,0.001042397877453529,0.0003767494682351337,0.0004791702827365123,0.0012016353444893697,0.000729096796055077,0.00023163749446439378,0.00034690026077968124,0.0011837507510056692,0.00031093791223701434,0.0011831888643668716,0.0004454944387947218,0.0009159074502085043
sh600006,0.0018526072801607518,0.004504922286767471,0.003356709804979543,0.05249898685192419,0.8835519841428005,0.0005102540601892007,0.0005219024493651139,0.0042369226221668594,0.0011909971393397301,0.006246194208495878,0.0006140457841071807,0.0006920797991230443,0.0071788453010674935,0.0028821311536636088,0.0005266231944583698,0.0007576308266502858,0.0015690014777297503,0.0011370671568928657,0.007429968390033169,0.004397845400505581,0.0004969329651647914,0.0011403547490719517,0.0016634081012255762,0.0014551751874683442,0.0014552137707752022,0.000794019940940181,0.000361975752900548,0.0032156236608923672,0.001196378550044666,0.00046991039661135653,0.001510575124638335,0.0005837188977865006
sh600007,0.0002473497851272164,0.004947655346344129,0.001518046180041728,0.03353135065538915,0.9241574217076285,0.00040586198004073285,0.0005600965005643628,0.008011004358386975,0.0011001614724389355,0.0016576811962677718,0.00035760634146306166,0.0005642096268019377,0.0044861062087426995,0.0011727444499617756,0.0005387745138104008,0.000539869794059859,0.0002801294255205334,0.0005961075113470993,0.003826992395308672,0.002023476132817463,0.0005724345607973643,0.0002506056871870611,0.0005352098975065671,0.001616667016601756,0.0027895285644968944,0.00017899953277042654,0.00019765972427170263,0.0014121038399176845,0.0004183965455405252,0.0005153297687128467,0.0004123716766790476,0.0005780593724192846
sh600008,0.00016607025968649086,0.0005833488096418483,0.00016627167792990027,0.0005383846756861477,0.9835657006221822,0.0002134596464888035,0.0005547977850230456,0.0014338727225331983,0.00031726444258783876,0.0008638850301988923,0.0004427629806453882,0.00033685287128020766,0.00181916983266143,0.0007872958699600113,0.0004688407471561301,0.00018582239124707666,0.0002082980294049573,0.00011949094459244706,0.00259491692104914,0.0006835554874198347,0.0005957266996992217,0.0001352458774581833,0.00037677602268951856,0.0005772828094352567,0.0005598962783822324,0.00011662561645191384,0.00018945130488692572,0.00038124099711584424,0.00014555917568483408,0.00024111523319069302,0.0001644988237070877,0.00046653029557605706
sh600009,0.00041553574194697236,0.002618973249489438,0.0019051783045301214,0.004941900287353303,0.9634023102676834,0.0008112917130774788,0.0005839856269584951,0.003240033154185531,0.0006014661926266115,0.0008926083088915799,0.0007584703152131512,0.00043702422124426065,0.004144284959297793,0.0006369286438924661,0.0010852577427517473,0.0004470798962641435,0.0006637883521326683,0.0010314421813763129,0.003190914804191336,0.0007834783938203873,0.0012007477105322071,0.00038241017397263113,0.0003153639853675486,0.0015168608721264308,0.0006539503001278436,0.00035055888780541664,0.00030840151944979246,0.00022545401279481996,0.0006048601714985396,0.0009377914500982469,0.00017272785932886725,0.0007389324424416076
sh600010,0.00124891272236563,0.004562330604011112,0.0010713627756041867,0.020792811472664045,0.9475278422878449,9.707728564863378e-05,0.000482768614324186,0.002560197383874483,0.0013201883668182489,0.0006995533565432123,0.000695853723216511,0.0003377153569464848,0.002357824284472011,0.00030411252525367,0.0002708640601571696,0.000633040611032721,0.000955412463073917,0.0008654515332521395,0.004296267117143897,0.001452507825136216,0.0007694809298052369,0.0006004639415308337,0.0011983626787194074,0.0006966952039342884,0.000610555934399752,0.00031342156242405506,0.00016552633690140859,0.0009027040340801733,0.00044443803075650657,0.0009065621204721803,0.00046364666463463223,0.00039606027247044887
sh600011,0.0003827732831886319,0.0008170738181282159,0.0022246391657914566,0.009539095424422371,0.9483920284386339,0.0005347540348815799,0.00032927836760776835,0.006642275840347879,0.002112462418742072,0.0010848415586842206,0.00040173461846649606,0.00024551750141728156,0.0031208884384790357,0.00073466384736054,0.00020990790308960056,0.0007974145709294368,0.0004968587305289172,0.00027917110693077835,0.007594983184614478,0.0005854539544594056,0.000557891481012857,0.0012145445629408763,0.0025252758932252702,0.0007928948224232723,0.0016379551730263805,0.00010663315230736258,0.000815512796483076,0.002779727205081275,0.0001908417629022374,0.00044958590693694537,0.00214533608811787,0.00025799597456002503
sh600015,0.00028151084101818295,0.0004949260001097125,0.0009867891584525552,0.002293315537719934,0.9785744173470905,0.0002473718604114503,0.0006117927462731196,0.004824224148407105,0.0010999455519835344,0.0004953439896418063,0.000329001672126918,0.00018914603167747928,0.0014230071688037824,0.0005627453809784447,0.0002619287349829314,0.0001691309344302215,8.682837574617254e-05,0.0003346278246802476,0.0025613487281439798,0.0005081388651784218,0.0005684203938518636,0.00012672847687944893,0.00014362306855174008,0.000551080127650625,0.0004906447328513218,9.030978688385195e-05,9.558196602295784e-05,0.0002472235931217816,0.00020901958463033057,0.0006202608937445572,0.00010635219551739527,0.00041522532012391454
sh600016,0.0003603445292656226,0.0002175944569989762,0.00015824858449174742,0.007166941194067579,0.9837591366811664,4.1320948407765954e-05,0.0003919700614257871,0.0017276029746625956,0.0002613633143691436,0.0002192480809228717,0.00028342108089890147,0.00013919296910706608,0.0006718246283271811,0.0002249485558163127,0.0002410147124804403,0.00010261666784140305,8.543631057199014e-05,0.00015452383981847054,0.001227948870045179,0.0002743942939737913,0.0003114938074462834,7.919053017268256e-05,0.0001340428257121557,0.000411024348978225,0.0002314928375255455,7.595064959350617e-05,6.22199931650924e-05,7.455474992641779e-05,0.00015138274888556506,0.00027841821098827725,5.5270677449521953e-05,0.0004258719379012337
sh600017,0.0005629783044506683,0.0024422259217606996,0.0006326702169727362,0.005179639290301573,0.9654134807188672,0.0003102234589991259,0.0009704042829448662,0.005155751697668555,0.0011757554540149857,0.0006618452442489353,0.0005147789123431593,0.00028515089202490665,0.0038957734779219923,0.0006438673344109315,0.0005701996486942132,0.0004073114071612034,0.00024889233746004354,0.0004452414130144539,0.003352202783200201,0.0010793863045958766,0.0007656476687648706,0.0006357867562243509,0.00044552162607259057,0.0010260626353761394,0.0009311664820409221,0.00015611178591681734,0.00015722022096040477,0.0004112209916504201,0.00037940902059457995,0.0003658582049705592,0.00026217282118447824,0.0005160519062694315
sh600018,0.000272386901385952,0.0007767041099875636,0.00017671144037859716,0.0009847396623947336,0.9823184979124382,5.889717943760432e-05,0.0006052978223897098,0.0018079404485651074,0.0003323475812775349,0.0011729704811953671,0.00037377650149376295,0.00031420170808183406,0.0032357207758203265,0.0008931696337296215,0.0002642738180193719,9.584065284695212e-05,0.00032493616342330663,0.00017533836704050395,0.0011081035356697063,0.0010418895655723431,0.0003806441794950465,0.0007742150884021657,0.00010616593115029581,0.0003704259072114284,0.0004160543903707797,8.402380783061106e-05,0.00015320828904038034,0.00021561022181945148,0.0003914105918410863,0.00023885143029871042,0.0001392800963112907,0.00039637430677936684
sh600019,0.00048025517098359774,0.002159249748210141,0.0010953627228762325,0.0021027380441331193,0.9669874027346543,0.00036140137433496083,0.0007098964317804472,0.007478104737009624,0.0007795385778333435,0.0007795776486178087,0.0004893337107588287,0.000274608263032467,0.004460925547121858,0.0006152317122440751,0.00041926105607548885,0.0004437861059317222,0.0008126714756959015,0.0004995572327863688,0.0020714531348618873,0.0005438100787080513,0.0004778024904615785,0.000467199936455737,0.0004059622081632268,0.0013128960694887978,0.0005684610134789629,0.0003071896477144008,0.00039067530486633616,0.0003543806760389727,0.00026091057923199385,0.000723573397996606,0.00023463040418510278,0.0009321645700920679
sh600020,0.0006298558983916737,0.0012121623614211488,0.0003743545609451896,0.006192571783417384,0.9703859516113346,0.00019271373291591563,0.0007303399488802985,0.006442730375501063,0.00038872278670816805,0.0007166842305676721,0.00022959682246669841,0.0001983356525012611,0.003322912281432081,0.001042984340899317,0.0002024711468111662,9.781722589812515e-05,0.00023636787556050837,0.0001934384700714206,0.0029713061002467796,0.0003866694243922298,0.0006794062312139705,0.00018861124477205973,0.00029191986279886135,0.0005373573350407926,0.0004067457197544938,8.21381884627276e-05,0.00018818986176078243,0.0002418880279835549,0.00019237884872361653,0.0003562277841257284,0.00021206944576031425,0.0004750891978449593
sh600021,0.0007140952449598317,0.002545627266287575,0.003013198586196033,0.03895618511752929,0.9038206491536551,0.0003304342498796542,0.0006476287583181327,0.006449732955047938,0.0015145539603178809,0.0038041508815807278,0.0007757176783000447,0.0005840219963405131,0.00836699436522964,0.002055769327191244,0.0007437836497345896,0.0003816262599286362,0.000658995524702129,0.0009409419756949099,0.007923628781095258,0.0016427542217076051,0.0005468572607826246,0.00047452393991121464,0.001876395801275523,0.0007833325703590913,0.001709975350760482,0.00039434277861202143,0.0005981341474011367,0.0026953140023082784,0.0013990101238163409,0.0005482902816638935,0.002683977420622761,0.0004193666460022002
