top_seed,model,used_seed,status,IC_mean,IC_std,ICIR,RankIC_mean,RankICIR,annual_return,annual_vol,sharpe,max_drawdown,turnover,note
512,fdg_skip32,512,exact,0.045677,0.130493,0.350032,0.027799,0.220490,0.269349,0.248902,1.082962,-0.348837,0.638532,
512,fdg_skip32_transposeB,512,exact,0.043926,0.119817,0.366609,0.025322,0.239879,0.259473,0.238074,1.088297,-0.307380,0.636485,inference only: use B.T; no retraining
512,fdg_skip32_random,512,exact,0.041338,0.126823,0.325951,0.031256,0.266608,0.266869,0.235533,1.122264,-0.280911,0.688632,fully random graph baseline
512,fdg_skip32_symshare,512,exact,0.039054,0.126747,0.308126,0.001054,0.008340,0.222501,0.257558,0.908866,-0.364114,0.619377,shared W_s/W_r; symmetric B; final A symmetrized
512,fdg_skip32_sharew_freeb,512,exact,0.038305,0.128504,0.298085,0.008881,0.068310,0.251236,0.244459,1.039059,-0.343814,0.675528,shared W_s/W_r; free asymmetric B
512,fdg_skip32_sepw_symb,512,exact,0.037891,0.107329,0.353041,0.013732,0.128282,0.232406,0.238839,0.994282,-0.357769,0.675840,separate W_s/W_r; symmetric B
512,mlp,512,exact,0.039607,0.115176,0.343879,0.011371,0.107329,0.235274,0.250331,0.969332,-0.321791,0.644961,configs/qlib_recent_mlp.yaml; QLib official Alpha158 handler dataset_mode; csi300_aligned; CUDA
512,master,512,exact,0.100100,0.102306,0.978437,0.107806,1.012593,0.006144,0.181775,0.034782,-0.388799,0.000000,portfolio metrics from qworkflow mlruns excess_return_without_cost
512,hist,512,exact,0.014837,0.129299,0.114750,0.026779,0.202141,0.006144,0.181775,0.034782,-0.388799,0.000000,portfolio metrics from qworkflow mlruns excess_return_without_cost
512,lstm,512,exact,0.026312,0.130355,0.201850,0.041839,0.324936,0.006144,0.181775,0.034782,-0.388799,0.000000,portfolio metrics from qworkflow mlruns excess_return_without_cost
512,lgbm,512,exact,0.029933,0.114985,0.260322,0.014471,0.125556,0.006144,0.181775,0.034782,-0.388799,0.000000,portfolio metrics from qworkflow mlruns excess_return_without_cost
