model,n,exact,proxy,missing,IC_mean_mean,IC_mean_var,IC_mean_std,IC_std_mean,IC_std_var,IC_std_std,ICIR_mean,ICIR_var,ICIR_std,RankIC_mean_mean,RankIC_mean_var,RankIC_mean_std,RankICIR_mean,RankICIR_var,RankICIR_std,annual_return_mean,annual_return_var,annual_return_std,annual_vol_mean,annual_vol_var,annual_vol_std,sharpe_mean,sharpe_var,sharpe_std,max_drawdown_mean,max_drawdown_var,max_drawdown_std,turnover_mean,turnover_var,turnover_std,proxy_note
fdg_skip32,10,10,0,0,0.042900,0.000001,0.001120,0.119894,0.000064,0.008011,0.359015,0.000468,0.021635,0.021147,0.000022,0.004688,0.176346,0.001947,0.044125,0.273930,0.000340,0.018435,0.237021,0.000218,0.014775,1.142748,0.005727,0.075678,-0.293136,0.001553,0.039414,0.644354,0.000563,0.023734,
fdg_skip32_transposeB,10,10,0,0,0.042025,0.000003,0.001751,0.118229,0.000050,0.007082,0.357051,0.000993,0.031513,0.019301,0.000021,0.004613,0.165350,0.002333,0.048300,0.265371,0.000743,0.027263,0.237599,0.000131,0.011459,1.111324,0.010421,0.102081,-0.297521,0.002552,0.050519,0.636407,0.000643,0.025363,
fdg_skip32_random,10,10,0,0,0.040715,0.000009,0.003047,0.119044,0.000066,0.008140,0.343258,0.001041,0.032261,0.017630,0.000060,0.007715,0.159246,0.005089,0.071340,0.234623,0.001135,0.033687,0.239321,0.000121,0.011003,0.999709,0.013132,0.114597,-0.313923,0.000397,0.019919,0.640565,0.000867,0.029449,
fdg_skip32_symshare,10,10,0,0,0.036940,0.000009,0.003056,0.118858,0.000052,0.007236,0.311083,0.000549,0.023439,0.017783,0.000075,0.008677,0.155614,0.006746,0.082132,0.251963,0.002196,0.046860,0.239708,0.000116,0.010753,1.055875,0.024321,0.155953,-0.321857,0.002025,0.044998,0.650256,0.001614,0.040180,
fdg_skip32_sharew_freeb,10,10,0,0,0.037494,0.000004,0.001949,0.128341,0.000045,0.006695,0.293048,0.000600,0.024492,0.016647,0.000023,0.004820,0.129227,0.001914,0.043747,0.267413,0.000859,0.029305,0.247817,0.000145,0.012046,1.082548,0.012320,0.110995,-0.328271,0.001577,0.039711,0.646407,0.001061,0.032577,
fdg_skip32_sepw_symb,10,10,0,0,0.039294,0.000009,0.003048,0.118038,0.000094,0.009711,0.334408,0.001014,0.031845,0.015738,0.000016,0.003996,0.133683,0.001436,0.037890,0.264373,0.001006,0.031719,0.240705,0.000156,0.012470,1.098108,0.017767,0.133294,-0.315050,0.001397,0.037382,0.638456,0.001363,0.036915,
mlp,10,10,0,0,0.039212,0.000002,0.001254,0.112262,0.000021,0.004567,0.349680,0.000222,0.014916,0.018878,0.000014,0.003678,0.182352,0.001315,0.036262,0.231610,0.000569,0.023862,0.238996,0.000177,0.013302,0.991963,0.006518,0.080735,-0.310619,0.000962,0.031022,0.632465,0.000911,0.030184,
master,10,10,0,0,0.073823,0.000508,0.022536,0.102539,0.000021,0.004557,0.726234,0.057961,0.240751,0.081123,0.000509,0.022556,0.758054,0.057268,0.239307,0.006144,0.000000,0.000000,0.181775,0.000000,0.000000,0.034782,0.000000,0.000000,-0.388799,0.000000,0.000000,0.000000,0.000000,0.000000,
hist,10,10,0,0,0.015185,0.000000,0.000549,0.132457,0.000018,0.004226,0.114788,0.000041,0.006406,0.028095,0.000003,0.001605,0.209738,0.000065,0.008038,0.006144,0.000000,0.000000,0.181775,0.000000,0.000000,0.034782,0.000000,0.000000,-0.388799,0.000000,0.000000,0.000000,0.000000,0.000000,
lstm,10,10,0,0,0.026398,0.000005,0.002310,0.126633,0.000068,0.008245,0.209902,0.000805,0.028381,0.038756,0.000015,0.003844,0.305668,0.000529,0.023007,0.006144,0.000000,0.000000,0.181775,0.000000,0.000000,0.034782,0.000000,0.000000,-0.388799,0.000000,0.000000,0.000000,0.000000,0.000000,
lgbm,10,10,0,0,0.030884,0.000003,0.001753,0.115626,0.000002,0.001313,0.267200,0.000284,0.016850,0.015358,0.000001,0.001029,0.132754,0.000085,0.009199,0.006144,0.000000,0.000000,0.181775,0.000000,0.000000,0.034782,0.000000,0.000000,-0.388799,0.000000,0.000000,0.000000,0.000000,0.000000,
