top_seed,model,split,used_seed,status,IC_mean,IC_std,ICIR,RankIC_mean,RankICIR,sharpe,note,path
512,fdg_skip32,official,512,exact,0.04930609772,0.1143077711,0.4313451068,0.04744451825,0.4120388302,1.712773293,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_official_seed512.json
512,fdg_skip32,recent,512,exact,0.04567671695,0.1304931368,0.3500315654,0.02779906392,0.2204895647,1.082962165,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_recent_seed512.json
512,fdg_skip32_random,official,512,exact,0.05673465315,0.1181647803,0.4801316689,0.05075483398,0.4458538455,1.700007545,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_official_seed512.json
512,fdg_skip32_random,recent,512,exact,0.04133803192,0.1268229763,0.3259506529,0.03125576489,0.2666075848,1.122263689,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_recent_seed512.json
512,fdg_skip32_symshare,official,512,exact,0.05274934542,0.1246767431,0.4230888946,0.05286265511,0.4836512064,1.789203152,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_official_seed512.json
512,fdg_skip32_symshare,recent,512,exact,0.03905408371,0.126747237,0.3081257205,0.001054271927,0.008339765041,0.908865621,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_recent_seed512.json
512,master,official,512,exact,0.05830079489,0.1015084561,0.5743442187,0.06324176078,0.6404136373,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_official_seed512.json
512,master,recent,512,exact,0.1000997896,0.1023057858,0.978437229,0.1078061648,1.012592733,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_recent_seed512.json
512,hist,official,512,exact,0.02836551379,0.1237250616,0.2292624746,0.03927481415,0.3124789866,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_official_seed512.json
512,hist,recent,512,exact,0.01483707983,0.1292988672,0.1147502692,0.02677932319,0.2021411443,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_recent_seed512.json
512,lstm,official,512,exact,0.03357364644,0.1191991004,0.2816602333,0.04693729807,0.4227451648,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_official_seed512.json
512,lstm,recent,60,proxy,0.02893109249,0.126046146,0.2295277834,0.04239440872,0.3285214655,,missing requested seed 512; using nearest completed LSTM recent seed 60,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_recent_seed60.json
512,lgbm,official,512,exact,0.05669495904,0.1023736967,0.5538039642,0.04859315122,0.4905302068,,,results/seed100_grouped_cpu/tables/lgbm_csi300_official_seed512.json
512,lgbm,recent,512,exact,0.0299329797,0.1149845019,0.2603218627,0.01447095986,0.1255560397,,,results/seed100_grouped_cpu/tables/lgbm_csi300_recent_seed512.json
23,fdg_skip32,official,23,exact,0.05657934282,0.1168143565,0.4843526472,0.04948760279,0.4782075628,1.836723386,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_official_seed23.json
23,fdg_skip32,recent,23,exact,0.04355599096,0.1296495021,0.3359518567,0.01348483293,0.1002710889,1.058126668,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_recent_seed23.json
23,fdg_skip32_random,official,23,exact,0.06483457289,0.1091169269,0.5941752092,0.04630270271,0.4647687985,1.623398672,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_official_seed23.json
23,fdg_skip32_random,recent,23,exact,0.04143884309,0.1288664512,0.321564245,0.007901583444,0.05986583481,0.9104304699,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_recent_seed23.json
23,fdg_skip32_symshare,official,23,exact,0.06238334613,0.1166633026,0.5347298141,0.04563060979,0.4079311386,1.707244811,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_official_seed23.json
23,fdg_skip32_symshare,recent,23,exact,0.0354811892,0.1187170618,0.2988718612,0.0136878654,0.1154561312,1.240700621,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_recent_seed23.json
23,master,official,23,exact,0.05061096316,0.1096931799,0.4613865985,0.05435035787,0.4864773031,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_official_seed23.json
23,master,recent,23,exact,0.04537668082,0.1130714295,0.4013098714,0.05490343266,0.4555903555,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_recent_seed23.json
23,hist,official,23,exact,0.02373485208,0.1244752359,0.19067931,0.03702078256,0.2873511808,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_official_seed23.json
23,hist,recent,23,exact,0.01580964746,0.1304193567,0.1212216335,0.02870831054,0.2194301064,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_recent_seed23.json
23,lstm,official,23,exact,0.0409020386,0.1016520348,0.4023730431,0.04788782466,0.5002638875,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_official_seed23.json
23,lstm,recent,23,exact,0.02510139338,0.1197391385,0.20963399,0.03724551803,0.314049218,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_recent_seed23.json
23,lgbm,official,23,exact,0.05435101339,0.1048629963,0.5183049817,0.04795341982,0.4621495924,,,results/seed100_grouped_cpu/tables/lgbm_csi300_official_seed23.json
23,lgbm,recent,23,exact,0.03465473365,0.1141782646,0.3035142789,0.01748219895,0.151769612,,,results/seed100_grouped_cpu/tables/lgbm_csi300_recent_seed23.json
37,fdg_skip32,official,37,exact,0.05060432108,0.1213586991,0.4169814068,0.04743876087,0.3789863352,1.624071913,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_official_seed37.json
37,fdg_skip32,recent,37,exact,0.04324914604,0.1196077972,0.36159136,0.02599431849,0.2012120431,1.125343952,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_recent_seed37.json
37,fdg_skip32_random,official,37,exact,0.06003645005,0.1216813537,0.4933907144,0.04834819481,0.4435345082,1.647923995,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_official_seed37.json
37,fdg_skip32_random,recent,37,exact,0.0400073801,0.1079757249,0.3705219866,0.02069546871,0.1984990647,1.02840981,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_recent_seed37.json
37,fdg_skip32_symshare,official,37,exact,0.05360282329,0.1124644439,0.4766201782,0.04067655206,0.3926992284,1.636004004,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_official_seed37.json
37,fdg_skip32_symshare,recent,37,exact,0.03999581995,0.1135989853,0.3520790246,0.02622406912,0.240166655,1.111307703,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_recent_seed37.json
37,master,official,37,exact,0.05552443045,0.1037326923,0.5352645267,0.06085094143,0.5878015775,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_official_seed37.json
37,master,recent,37,exact,0.09001297727,0.09934877973,0.9060300239,0.09735355029,0.9417068098,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_recent_seed37.json
37,hist,official,37,exact,0.02217715242,0.1235591237,0.1794861581,0.03687842676,0.287088265,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_official_seed37.json
37,hist,recent,37,exact,0.01473942604,0.1368890812,0.1076742272,0.02885344873,0.2085246185,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_recent_seed37.json
37,lstm,official,37,exact,0.03262078876,0.1127251888,0.2893833144,0.04470799046,0.4144140896,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_official_seed37.json
37,lstm,recent,37,exact,0.02311946867,0.1402728572,0.1648178352,0.04471022858,0.3147910425,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_recent_seed37.json
37,lgbm,official,37,exact,0.05754265571,0.1031453415,0.5578793464,0.04936062419,0.490713174,,,results/seed100_grouped_cpu/tables/lgbm_csi300_official_seed37.json
37,lgbm,recent,37,exact,0.03015718902,0.1158623967,0.260284526,0.01500946649,0.1296814708,,,results/seed100_grouped_cpu/tables/lgbm_csi300_recent_seed37.json
5,fdg_skip32,official,5,exact,0.04320467773,0.100561026,0.4296364054,0.0383749187,0.3625942083,1.557153128,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_official_seed5.json
5,fdg_skip32,recent,5,exact,0.04311608507,0.111711101,0.3859606135,0.02130118962,0.1817895288,1.264541944,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_recent_seed5.json
5,fdg_skip32_random,official,5,exact,0.05530168493,0.1203697691,0.4594316773,0.04835942104,0.4323253356,1.776143545,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_official_seed5.json
5,fdg_skip32_random,recent,5,exact,0.04317548362,0.1141009181,0.3783973376,0.02096773035,0.2052099483,0.9426974594,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_recent_seed5.json
5,fdg_skip32_symshare,official,5,exact,0.05414339857,0.117717639,0.4599429537,0.05142487015,0.4674607311,1.727419462,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_official_seed5.json
5,fdg_skip32_symshare,recent,5,exact,0.03909952298,0.1289432616,0.3032304481,0.02314703332,0.1755857564,1.130008262,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_recent_seed5.json
5,master,official,5,exact,0.05936499923,0.1031794848,0.5753566161,0.06628850144,0.6549917259,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_official_seed5.json
5,master,recent,5,exact,0.08390342716,0.1040287179,0.8065410097,0.09507520529,0.8677140148,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_recent_seed5.json
5,hist,official,5,exact,0.03083120666,0.1211312468,0.2545272791,0.03950941185,0.3194418137,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_official_seed5.json
5,hist,recent,5,exact,0.01555193233,0.1352050325,0.1150248038,0.02922856973,0.2162855259,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_recent_seed5.json
5,lstm,official,5,exact,0.04818995693,0.1035817557,0.4652359541,0.05128456361,0.5084233401,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_official_seed5.json
5,lstm,recent,5,exact,0.02828824855,0.1255515936,0.2253117442,0.03735097001,0.2923667895,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_recent_seed5.json
5,lgbm,official,5,exact,0.05603977993,0.1006543821,0.5567544973,0.0482586785,0.4893012795,,,results/seed100_grouped_cpu/tables/lgbm_csi300_official_seed5.json
5,lgbm,recent,5,exact,0.03032899779,0.1149795922,0.2637772253,0.01536430201,0.1341276042,,,results/seed100_grouped_cpu/tables/lgbm_csi300_recent_seed5.json
40,fdg_skip32,official,40,exact,0.05658060893,0.1156606105,0.4891951434,0.05042100785,0.4349877364,1.908056076,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_official_seed40.json
40,fdg_skip32,recent,40,exact,0.04256838619,0.1084188597,0.392628979,0.01728880705,0.1528547961,1.158640439,,results/seed100_gpu_fdg/tables/fdg_skip32_csi300_recent_seed40.json
40,fdg_skip32_random,official,40,exact,0.05492423143,0.117909023,0.4658187307,0.04509713889,0.3745347024,1.662853245,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_official_seed40.json
40,fdg_skip32_random,recent,40,exact,0.03756647066,0.1047266423,0.3587097784,0.01554401263,0.1489423362,1.041754136,,results/seed100_gpu_fdg/tables/fdg_skip32_random_csi300_recent_seed40.json
40,fdg_skip32_symshare,official,40,exact,0.05703661557,0.1203188366,0.4740456042,0.04811349721,0.4211669348,1.673219633,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_official_seed40.json
40,fdg_skip32_symshare,recent,40,exact,0.03518273188,0.1082154533,0.3251174468,0.02771814891,0.2854616373,0.9349238029,,results/seed100_gpu_fdg/tables/fdg_skip32_symshare_csi300_recent_seed40.json
40,master,official,40,exact,0.04978508744,0.1067267039,0.4664726413,0.05967490688,0.5669017698,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_official_seed40.json
40,master,recent,40,exact,0.05996133573,0.1042559706,0.5751357488,0.06420518534,0.5792094128,,,results/seed100_gpu_master_hist_fixed/tables/master_csi300_recent_seed40.json
40,hist,official,40,exact,0.02893408044,0.1241140172,0.2331250014,0.03994353213,0.3109614615,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_official_seed40.json
40,hist,recent,40,exact,0.01524625784,0.1314623024,0.115974371,0.02631905486,0.1962091135,,,results/seed100_gpu_master_hist_fixed/tables/hist_csi300_recent_seed40.json
40,lstm,official,40,exact,0.04168708259,0.1031948134,0.403964901,0.04486256017,0.4623850339,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_official_seed40.json
40,lstm,recent,40,exact,0.02941415524,0.119596466,0.2459450202,0.03575559094,0.2877899802,,,results/seed100_gpu_master_hist_fixed/tables/lstm_csi300_recent_seed40.json
40,lgbm,official,40,exact,0.05332595114,0.104623702,0.5096928339,0.04722735114,0.4600560058,,,results/seed100_grouped_cpu/tables/lgbm_csi300_official_seed40.json
40,lgbm,recent,40,exact,0.02916367472,0.1150553968,0.2534750697,0.01439566721,0.1250658425,,,results/seed100_grouped_cpu/tables/lgbm_csi300_recent_seed40.json
